probability,pred
1.0,0.0
1.0,0.0
0.9999996423721313,0.0
1.0,0.0
0.9571104645729065,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999881982803345,0.0
1.0,0.0
1.0,0.0
0.9999575614929199,0.0
0.9999935626983643,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
0.9999990463256836,0.0
1.0,0.0
1.0,1.0
1.0,0.0
0.9999632835388184,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999986886978149,0.0
1.0,0.0
1.0,0.0
0.999537467956543,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999996423721313,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999964237213135,0.0
1.0,0.0
0.9999988079071045,0.0
1.0,0.0
0.9745853543281555,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999998807907104,1.0
1.0,0.0
0.9999974966049194,0.0
1.0,0.0
0.9999998807907104,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999990463256836,0.0
0.9719232320785522,1.0
0.7227094769477844,1.0
0.9945264458656311,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999997615814209,1.0
1.0,0.0
1.0,0.0
0.9999994039535522,0.0
1.0,0.0
1.0,0.0
0.9999920129776001,0.0
1.0,0.0
1.0,0.0
0.9999443292617798,0.0
1.0,0.0
0.9996620416641235,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999724626541138,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999325275421143,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9977129697799683,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9996883869171143,0.0
1.0,0.0
0.998306155204773,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.6862238049507141,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999929666519165,0.0
0.9244797229766846,1.0
1.0,0.0
1.0,0.0
0.9999977350234985,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999996423721313,0.0
1.0,0.0
0.8131415247917175,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
