probability,pred
1.0,0.0
1.0,0.0
0.9999977350234985,0.0
1.0,0.0
0.9996911287307739,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.999984622001648,0.0
1.0,0.0
1.0,0.0
0.8720712065696716,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
0.9999910593032837,0.0
1.0,0.0
1.0,1.0
1.0,0.0
0.9999996423721313,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9799229502677917,0.0
1.0,0.0
1.0,0.0
0.9631016850471497,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999995231628418,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999996423721313,0.0
1.0,0.0
0.9999998807907104,0.0
1.0,0.0
0.9973025321960449,1.0
0.9990608096122742,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
0.9993042945861816,0.0
1.0,0.0
0.9999998807907104,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999998807907104,0.0
0.9888623356819153,1.0
0.9993962049484253,0.0
0.9950071573257446,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999998807907104,1.0
1.0,0.0
1.0,0.0
0.9990437626838684,1.0
1.0,0.0
1.0,0.0
0.9999967813491821,0.0
1.0,0.0
1.0,0.0
0.999998927116394,0.0
1.0,0.0
0.9910144209861755,0.0
1.0,0.0
0.9999997615814209,0.0
1.0,0.0
0.9999995231628418,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.999998927116394,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9790489673614502,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9964613318443298,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999117851257324,0.0
1.0,0.0
0.8244186639785767,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9847245812416077,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.7664660811424255,1.0
1.0,0.0
1.0,0.0
0.9988252520561218,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9082597494125366,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.9999935626983643,0.0
